shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
10385,45.424664,-73.901860,100016,24.742
10385,45.424515,-73.902400,100017,24.787
10385,45.424452,-73.902630,100018,24.806
10385,45.424380,-73.902867,100019,24.827
10385,45.424223,-73.903381,100020,24.870
10385,45.424134,-73.903652,100021,24.894
10385,45.423746,-73.904828,100022,24.995
10385,45.423593,-73.905288,100023,25.035
10385,45.423175,-73.906454,100024,25.138
10385,45.422817,-73.907454,100025,25.226
10385,45.421817,-73.910223,100026,25.469
10385,45.420255,-73.914548,100027,25.850
10385,45.419898,-73.915540,100028,25.937
10385,45.419898,-73.915540,110001,25.937
10385,45.419458,-73.916761,110002,26.044
10385,45.418801,-73.918569,110003,26.204
10385,45.417690,-73.921640,110004,26.474
10385,45.416685,-73.924424,110005,26.719
10385,45.415987,-73.926357,110006,26.889
10385,45.414957,-73.929213,110007,27.140
10385,45.413963,-73.931968,110008,27.383
10385,45.413458,-73.933364,110009,27.506
10385,45.412235,-73.936723,110010,27.802
10385,45.411340,-73.939180,110011,28.018
10385,45.410638,-73.941140,110012,28.191
10385,45.410216,-73.942318,110013,28.294
10385,45.410003,-73.942913,110014,28.346
10385,45.409767,-73.943562,110015,28.404
10385,45.409632,-73.943939,110016,28.437
10385,45.409376,-73.944671,110017,28.501
10385,45.409308,-73.944864,110018,28.518
10385,45.409052,-73.945685,110019,28.588
10385,45.408992,-73.945879,110020,28.605
10385,45.408860,-73.946354,110021,28.645
10385,45.408737,-73.946835,110022,28.685
10385,45.408629,-73.947299,110023,28.723
10385,45.408572,-73.947540,110024,28.743
10385,45.408504,-73.947842,110025,28.768
10385,45.408417,-73.948234,110026,28.800
10385,45.408299,-73.948753,110027,28.842
10385,45.408195,-73.949190,110028,28.879
10385,45.408099,-73.949579,110029,28.911
10385,45.408017,-73.949908,110030,28.938
10385,45.407736,-73.950858,110031,29.019
10385,45.407613,-73.951196,110032,29.049
10385,45.407613,-73.951196,120001,29.049
10385,45.407568,-73.951320,120002,29.060
10385,45.407516,-73.951451,120003,29.071
10385,45.407421,-73.951688,120004,29.093
10385,45.407237,-73.952111,120005,29.132
10385,45.407205,-73.952181,120006,29.138
10385,45.407050,-73.952505,120007,29.169
10385,45.406865,-73.952849,120008,29.203
10385,45.406649,-73.953213,120009,29.240
10385,45.406604,-73.953281,120010,29.247
10385,45.406373,-73.953623,120011,29.285
10385,45.406128,-73.953941,120012,29.321
10385,45.406028,-73.954066,120013,29.336
10385,45.405499,-73.954689,120014,29.413
10385,45.405363,-73.954842,120015,29.432
10385,45.405201,-73.955017,120016,29.455
10385,45.404701,-73.955548,120017,29.524
10385,45.404597,-73.955657,120018,29.538
10385,45.403354,-73.956930,120019,29.709
10385,45.403002,-73.957289,120020,29.757
10385,45.401772,-73.958555,120021,29.926
10385,45.401606,-73.958725,120022,29.949
10385,45.400773,-73.959605,120023,30.064
10385,45.399392,-73.961063,120024,30.256
10385,45.399323,-73.961137,120025,30.265
10385,45.399060,-73.961431,120026,30.302
10385,45.398525,-73.962035,120027,30.378
10385,45.397899,-73.962781,120028,30.469
10385,45.397594,-73.963151,120029,30.514
10385,45.396986,-73.963891,120030,30.603
10385,45.396626,-73.964371,120031,30.658
10385,45.396483,-73.964564,120032,30.680
10385,45.395909,-73.965398,120033,30.771
10385,45.395909,-73.965398,130001,30.771
10385,45.395606,-73.965843,130002,30.820
10385,45.395314,-73.966285,130003,30.867
10385,45.395210,-73.966443,130004,30.884
10385,45.394968,-73.966812,130005,30.924
10385,45.394712,-73.967219,130006,30.966
10385,45.394536,-73.967500,130007,30.996
10385,45.394199,-73.968073,130008,31.054
10385,45.393862,-73.968655,130009,31.113
10385,45.393728,-73.968893,130010,31.137
10385,45.393318,-73.969642,130011,31.212
10385,45.393216,-73.969831,130012,31.230
10385,45.393029,-73.970200,130013,31.266
10385,45.392779,-73.970693,130014,31.313
10385,45.392539,-73.971179,130015,31.360
10385,45.392363,-73.971538,130016,31.394
10385,45.392333,-73.971603,130017,31.400
10385,45.392023,-73.972280,130018,31.463
10385,45.391684,-73.973063,130019,31.535
10385,45.391392,-73.973749,130020,31.598
10385,45.391319,-73.973922,130021,31.614
10385,45.391071,-73.974540,130022,31.670
10385,45.390990,-73.974742,130023,31.688
10385,45.390685,-73.975534,130024,31.759
10385,45.390630,-73.975684,130025,31.772
10385,45.390338,-73.976493,130026,31.843
10385,45.389982,-73.977529,130027,31.933
10385,45.389915,-73.977726,130028,31.951
10385,45.389697,-73.978413,130029,32.010
10385,45.389423,-73.979328,130030,32.087
10385,45.389214,-73.980044,130031,32.148
10385,45.389091,-73.980508,130032,32.187
10385,45.388842,-73.981458,130033,32.266
10385,45.388713,-73.981990,130034,32.310
10385,45.388630,-73.982326,130035,32.338
10385,45.388413,-73.983271,130036,32.416
10385,45.388392,-73.983368,130037,32.424
10385,45.388300,-73.983814,130038,32.461
10385,45.388102,-73.984837,130039,32.544
10385,45.387939,-73.985744,130040,32.617
10385,45.387916,-73.985883,130041,32.628
10385,45.387788,-73.986685,130042,32.693
10385,45.387674,-73.987436,130043,32.753
10385,45.387606,-73.987912,130044,32.791
10385,45.387527,-73.988491,130045,32.837
