service_id,date,exception_type
TRAIN-H25-TRKPI-Semaine-06,20250423,2
TRAIN-H25-TRKPI-Semaine-06,20250424,2
TRAIN-H25-TRKPI-Semaine-06,20250425,2
TRAIN-H25-TRKPI-Semaine-06,20250428,2
TRAIN-H25-TRKPI-Semaine-06,20250429,2
TRAIN-H25-TRKPI-Semaine-06,20250430,2
TRAIN-H25-TRKPI-Semaine-06,20250501,2
TRAIN-H25-TRKPI-Semaine-06,20250502,2
TRAIN-H25-TRKPI-Semaine-06,20250505,2
TRAIN-H25-TRKPI-Semaine-06,20250506,2
TRAIN-H25-TRKPI-Semaine-06,20250507,2
TRAIN-H25-TRKPI-Semaine-06,20250508,2
TRAIN-H25-TRKPI-Semaine-06,20250509,2
TRAIN-H25-TRKPI-Semaine-06,20250512,2
TRAIN-H25-TRKPI-Semaine-06,20250513,2
TRAIN-H25-TRKPI-Semaine-06,20250514,2
TRAIN-H25-TRKPI-Semaine-06,20250515,2
TRAIN-H25-TRKPI-Semaine-06,20250516,2
TRAIN-H25-TRKPI-Semaine-06,20250519,2
TRAIN-H25-TRKPI-Semaine-06,20250520,2
TRAIN-H25-TRKPI-Semaine-06,20250521,2
TRAIN-H25-TRKPI-Semaine-06,20250522,2
TRAIN-H25-TRKPI-Semaine-06,20250523,2
TRAIN-H25-TRKPI-Semaine-06,20250526,2
TRAIN-H25-TRKPI-Semaine-06,20250527,2
TRAIN-H25-TRKPI-Semaine-06,20250528,2
TRAIN-H25-TRKPI-Semaine-06,20250529,2
TRAIN-H25-TRKPI-Semaine-06,20250530,2
TRAIN-H25-TRKPI-Semaine-06,20250602,2
TRAIN-H25-TRKPI-Semaine-06,20250603,2
TRAIN-H25-TRKPI-Semaine-06,20250604,2
TRAIN-H25-TRKPI-Semaine-06,20250605,2
TRAIN-H25-TRKPI-Semaine-06,20250606,2
TRAIN-H25-TRKPI-Semaine-06,20250609,2
TRAIN-H25-TRKPI-Semaine-06,20250610,2
TRAIN-H25-TRKPI-Semaine-06,20250611,2
TRAIN-H25-TRKPI-Semaine-06,20250612,2
TRAIN-H25-TRKPI-Semaine-06,20250613,2
TRAIN-H25-TRKPI-Semaine-06,20250616,2
TRAIN-H25-TRKPI-Semaine-06,20250617,2
TRAIN-H25-TRKPI-Semaine-06,20250618,2
TRAIN-H25-TRKPI-Semaine-06,20250619,2
TRAIN-H25-TRKPI-Semaine-06,20250620,2
TRAIN-H25-TRKPI-Semaine-07,20250106,2
TRAIN-H25-TRKPI-Semaine-07,20250107,2
TRAIN-H25-TRKPI-Semaine-07,20250108,2
TRAIN-H25-TRKPI-Semaine-07,20250109,2
TRAIN-H25-TRKPI-Semaine-07,20250110,2
